chapter_number,volume,name,romanized_title,viz_title,pages,date,episodes,,,,
63,8,I Ain't Gonna Die,Shinane yo,I Won't Die,19,02/11/1998,"Episode 47 (p. 1), Episode 28 (p. 2-19)",,,,
64,8,Giant Battle Spear,Daisenso,The Mighty Battle Spear,17,09/11/1998,Episode 28 (p. 2-18),,,,
65,8,Prepare,Kakugo,Prepared,19,16/11/1998,"Episode 47 (p. 1), Episode 29 (p. 2-19)",,,,
66,8,The Spear Is Stifled,Kami Koroshita Yari,The Chewed-up Spear,19,21/11/1998,"Episode 47 (p. 1), Episode 29 (p. 2-19)",,,,
67,8,Soup,Supu,The Soup,19,30/11/1998,"Episode 47 (p. 1), Episode 30 (p. 2-19)",,,,
68,8,The Fourth,Yoninme,The Fourth Person,19,07/12/1998,"Episode 47 (p. 1), Episode 30 (p. 2-19)",,,,
69,8,Arlong Park,Aron Paku,Arlong Park,20,19/12/1998,Episode 31 (p. 2-20),,,,
70,8,The Manly Usopp's Great Adventure,Otoko Usoppu Daiboken,The Great Adventure of Usopp the Man,21,04/01/1999,"Episode 31 (p. 2-12), Episode 32 (p. 13-19)",,,,
71,8,Masters Above All,Banbutsu no Reicho,Lords of All Creation,19,11/01/1999,"Episode 47 (p. 1), Episode 32 (p. 2-4, 9-19), Episode 31 (p. 5-8)",,,,
72,9,Appropriate,Bunsoo,Proper Living,19,18/01/1999,"Episode 47 (p. 1), Episode 32 (p. 2-19)",,,,
73,9,"The Monster From the ""Grand Line""","""Gurando Rain"" Kara Kita Kaibutsu",Monsters of the Grand Line,19,25/01/1999,"Episode 47 (p. 1), Episode 33 (p. 2-5, 14-19), Episode 32 (p. 5-13)",,,,
74,9,Business,Bijinesu,Business,19,01/02/1999,"Episode 47 (p. 1), Episode 33 (p. 2-19)",,,,
75,9,Sea Charts and Fish-Man,Kaizu to Gyojin,Of Maps and Fish-Men,19,08/02/1999,"Episode 47 (p. 1), Episode 33 (p. 2-7), Episode 34 (p. 8-19)",,,,
76,9,Gonna Sleep,Neru,Sleep,19,15/02/1999,Episode 34 (p. 2-19),,,,
77,9,One Step of the Dream,Yume no Ippo,The First Step Toward a Dream,19,22/02/1999,"Episode 34 (p. 2-3), Episode 35 (p. 4-18)",,,,
78,9,Bell-mere-san,Berumeru-san,Bell-mere,19,01/03/1999,"Episode 35 (p. 2-4), Episode 36 (p. 5-19)",,,,
79,9,Survive,Ikiru,To Live,19,08/03/1999,"One Piece: The Movie (p. 1-2), Episode 36 (p. 3-19)",,,,
80,9,A Crime is a Crime,Tsumi wa Tsumi,A Thief is a Thief,19,15/03/1999,"Episode 36 (p. 2-9), Episode 37 (p. 10-19)",,,,
81,9,Tears,Namida,Tears,19,20/03/1999,Episode 37 (p. 2-19),,,,
82,10,"OK, Let's STAND UP!","Oke, Rettsu, Sutan Dappu!","OK, Let's STAND UP!",19,29/03/1999,Episode 38 (p. 2-19),,,,
83,10,Luffy in Black,Rufi In Burakku,Luffy in Black,19,05/04/1999,"Episode 68 (p. 1), Episode 38 (p. 2-19)",,,,
84,10,Zombie,Zonbi,Zombie,19,12/04/1999,"Episode 68 (p. 1), Episode 39 (p. 2-19)",,,,
85,10,Santoryu vs. Rokutoryu,Santoryu tai Rokutoryu,Three Swords vs. Six,19,19/04/1999,"Episode 68 (p. 1), Episode 39 (p. 2-19)",,,,
86,10,Chivalry vs. Fish-Man Karate,Kishido VS Gyojin Karate,Heroism vs. Fish-Man Cruelty,20,26/04/1999,"Episode 39 (p. 2-6), Episode 40 (p. 7-20)",,,,
87,10,It's Over!!,Owattanda!!,It's All Over!!,19,10/05/1999,"Episode 68 (p. 1), Episode 40 (p. 2-19)",,,,
88,10,Die!!!,Shinde!!!,Die!!!,19,17/05/1999,"Episode 68 (p. 1), Episode 40 (p. 2-10), Episode 41 (p. 11-19)",,,,
89,10,Switch,Kotai,Trade-Off,19,24/05/1999,"Episode 68 (p. 1), Episode 41 (p. 2-19)",,,,
90,10,What Can You Do?,Nani ga Dekiru,What Can You Do?,19,31/05/1999,"Episode 68 (p. 1), Episode 41 (p. 2-7), Episode 42 (p. 8-19)",,,,
91,11,Darts,Datsu,DARTS,19,07/06/1999,"Episode 68 (p. 1), Episode 42 (p. 2-19)",,,,
92,11,Happiness,Shiawase,Happiness,19,14/06/1999,"Episode 68 (p. 1), Episode 42 (p. 2-19)",,,,
93,11,Going Down,Shita e Mairimasu,Going Down,19,21/06/1999,"Episode 68 (p. 1), Episode 43 (p. 2-19)",,,,
94,11,The Second,Futarime,The Other Villain,17,28/06/1999,Episode 43 (p. 2-17),,,,
95,11,"Spin, Pinwheel, Spin",Maware Kazaguruma,"Spin, Pinwheel",19,05/07/1999,"Episode 68 (p. 1), Episode 44 (p. 2-19)",,,,
96,11,Greatest Evil of the East,Higashi Ichiban no Waru,The Meanest Man in the East,19,12/07/1999,"Episode 68 (p. 1), Episode 45 (p. 2-10, 15-18), Episode 48 (p. 11-14)",,,,
97,11,Sandai Kitetsu,Sandai Kitetsu,Kitetsu III,19,19/07/1999,"Episode 68 (p. 1), Episode 48 (p. 2-4), Episode 49 (p. 5-19)",,,,
98,11,Dark Clouds,An'un,Dark Clouds,19,26/07/1999,"Episode 68 (p. 1), Episode 51 (p. 2), Episode 52 (p. 3-19)",,,,
99,11,Luffy Died,Rufi ga Shinda,Luffy Died,19,02/08/1999,"Episode 68 (p. 1), Episode 52 (p. 2-19)",,,,
100,12,The Legend Has Begun,Densetsu wa Hajimatta,The Legend Begins,24,09/08/1999,"Episode 52 (p. 1), Episode 53 (p. 4-24)",,,,
101,12,Reverse Mountain,Rivasu Maunten,Reverse Mountain,19,23/08/1999,"Episode 68 (p. 1), Episode 61 (p. 2-4, 11-19), Episode 55 (p. 5-10)",,,,
102,12,"And Now, the Grand Line","Sate, Gurando Rain","Now, The Grand Line",19,30/08/1999,"Episode 68 (p. 1), Episode 62 (p. 2-18)",,,,
103,12,Whale,Kujira,The Whale,20,06/09/1999,Episode 62 (p. 2-20),,,,
104,12,Cape Promise,Yakusoku no Misaki,Cape Promise,19,13/09/1999,"Episode 68 (p. 1), Episode 63 (p. 2-19)",,,,
105,12,Log Pose,Rogu Posu,Log Pose,19,20/09/1999,"Episode 68 (p. 1), Episode 63 (p. 2-19)",,,,
106,12,The Town of Celebration,Kangei no Machi,The Town of Welcome,19,27/09/1999,"Episode 68 (p. 1), Episode 64 (p. 2-19)",,,,
107,12,Moonlight and Gravestones,Gekko to Bohyo,Moonlight and Tombstones,18,04/10/1999,"Episode 64 (p. 3-13), Episode 65 (p. 14-18)",,,,
108,12,100 Bounty Hunters,Hyakunin no Shokin Kasegi,100 Bounty Hunters,19,09/10/1999,"Episode 68 (p. 1), Episode 65 (p. 2-19)",,,,
109,13,Responsibility Problem,Sekinin Mondai,A Question of Duty,19,18/10/1999,"Episode 68 (p. 1), Episode 65 (p. 2-19)",,,,
110,13,The Night Will Not End,Yoru wa Owaranai,The Night Isn't Over,19,25/10/1999,"Episode 68 (p. 1), Episode 65 (p. 2-15), Episode 66 (p. 16-19)",,,,
111,13,Secret Criminal Syndicate,Himitsu Hanzai Gaisha,The Secret Criminal Organization,18,01/11/1999,Episode 66 (p. 2-18),,,,
112,13,Luffy vs. Zoro,Rufi Basasu Zoro,Luffy vs. Zolo,19,08/11/1999,"Episode 68 (p. 1), Episode 66 (p. 2-19)",,,,
113,13,It's Okay!!!,Daijobu!!!,It's All Right!!!,19,15/11/1999,"Episode 68 (p. 1), Episode 67 (p. 2-19)",,,,
114,13,Route,Shinro,The Course,19,22/11/1999,"Episode 69 (p. 1), Episode 67 (p. 2-19)",,,,
115,13,Adventure in Little Garden,Boken no Ritoru Gaden,Little Garden of Adventure,19,06/12/1999,"Episode 69 (p. 1), Episode 70 (p. 2-19)",,,,
116,13,Huge,Dekke,Big,19,13/12/1999,"Episode 69 (p. 1), Episode 71 (p. 2-19)",,,,
117,13,Dorry and Brogy,Dori to Burogi,Dorry and Broggy,19,20/12/1999,"Episode 70 (p. 2-4), Episode 72 (p. 5-18)",,,,
118,14,Someone's Here,Dareka Iru,Someone's Out There,19,03/01/2000,"Episode 69 (p. 1), Episode 72 (p. 2-10, 18-19), Episode 71 (p. 11-17)",,,,
119,14,Makeshift,Kosoku,Deadly Improvisation,19,17/01/2000,"Episode 69 (p. 1), Episode 73 (p. 2-19)",,,,
120,14,The Red Ogre Cried,Akaoni ga Naita,The Red Ogre Weeps,19,24/01/2000,Episode 73 (p. 2-19),,,,
121,14,I Knew,Wakatteita,I Knew,19,31/01/2000,Episode 74 (p. 2-19),,,,
122,14,A Corpse Won't Help,Shinin wa Yaku ni Tatanu,A Dead Body is Useless,19,07/02/2000,Episode 74 (p. 2-19),,,,
123,14,Luffy vs. Mr. 3,Rufi VS Misuta Suri,Luffy vs. Mr. 3,19,14/02/2000,Episode 75 (p. 2-19),,,,
124,14,The Tea is so Damn Good,Ocha ga Ume,The Tea is Good,19,21/02/2000,"Episode 75 (p. 2-16), Episode 76 (p. 17-19)",,,,
125,14,Candle Champion,Kyandoru Chanpion,Candle Champion,19,28/02/2000,Episode 76 (p. 2-19),,,,
126,14,Instinct,Honno,Instinct,19,06/03/2000,Episode 76 (p. 2-19),,,,
127,15,Den Den Mushi,Dendenmushi,Snail-o-Phone,19,13/03/2000,Episode 77 (p. 2-19),,,,
128,15,Pride (Pirate Flag),Hokori,Pirate Pride,20,18/03/2000,"Episode 77 (p. 7-21), Episode 79 (p. 2-6)",,,,
129,15,Straight Ahead!!!,Massugu!!!,Straight Ahead!!!,21,27/03/2000,"Episode 77 (p. 2-9), Episode 78 (p. 10-21)",,,,
130,15,Maximum Speed,Saiko Sokudo,Maximum Speed,19,03/04/2000,"Episode 78 (p. 2-3), Episode 79 (p. 4-19)",,,,
131,15,Tin Plate Wapol,Buriki no Waporu,Wapol of Tin,19,10/04/2000,Episode 79 (p. 2-19),,,,
132,15,See?,Ne,See?,19,17/04/2000,"Episode 79 (p. 2-15), Episode 80 (p. 16-19)",,,,
133,15,Adventure in the Country Without a Name,Na mo Naki Kuni no Boken,Adventure in a Nameless Country,20,24/04/2000,"Episode 80 (p. 1, 4-20)",,,,
134,15,Dr. Kureha,Dokuta Kureha,Dr. Kureha,19,08/05/2000,"Episode 80 (p. 2-11), Episode 81 (p. 12-19)",,,,
135,15,Lapahn,Rapan,Lapins,19,15/05/2000,Episode 81 (p. 2-19),,,,
136,15,A Man Called Dalton,Doruton to Iu Otoko,A Man Named Dalton,19,22/05/2000,Episode 82 (p. 2-19),,,,
137,16,Avalanche,Nadare,Avalanche,20,29/05/2000,Episode 82 (p. 2-21),,,,
138,16,Summit,Chojo,The Summit,19,05/06/2000,Episode 83 (p. 2-19),,,,
139,16,Introducing Tony Tony Chopper,Toni Toni Choppa Tojo,Enter Tony Tony Chopper,19,12/06/2000,"Episode 83 (p. 2-11), Episode 84 (p. 12-19)",,,,
140,16,Castle of Snow,Yuki no Sumu Shiro,The Castle of Snow,19,19/06/2000,"Episode 84 (p. 3-18), Episode 85 (p. 18-19)",,,,
141,16,Quack Doctor,Yabu Isha,Quack Doctor,19,26/06/2000,"Episode 83 (p. 2-3), Episode 85 (p. 10-19), Episode 86 (p. 4-5), Episode 87 (p. 6-9)",,,,
142,16,Skull and Sakura,Dokuro to Sakura,Skull and Cherry Blossoms,19,03/07/2000,"Episode 85 (p. 2-3, 9-19), Episode 91 (p. 4-8)",,,,
143,16,Unskilled,Bukiyo,Clumsy,19,10/07/2000,"Episode 85 (p. 2-8), Episode 86 (p. 9-19)",,,,
144,16,Snow Story,Yuki Monogatari,Snowy Tale,19,17/07/2000,Episode 86 (p. 2-19),,,,
145,16,Inherited Will,Uketsugareru Ishi,Carrying on His Will,19,24/07/2000,"Episode 86 (p. 2-17), Episode 87 (p. 18-19)",,,,
146,17,The Battle of National Defense,Kokubosen,Battle to Defend the Kingdom,19,31/07/2000,Episode 87 (p. 2-19),,,,
147,17,Downright Lie,Usoppachi,Frauds,19,07/08/2000,"Believe (p. 1-2), Episode 88 (p. 3-4, 12-14), Episode 87 (p. 5-11, 15-19)",,,,
148,17,You Can't Destroy It,Orenai,Unbreakable,19,21/08/2000,"Episode 88 (p. 2-4, 11-19), Episode 87 (p. 5-10)",,,,
149,17,RUMBLE!!,Ranburu!!,RUMBLE!!,19,28/08/2000,Episode 88 (p. 2-19),,,,
150,17,Royal Drum Crown 7-Shot Bliking Cannon,Roiyaru Doramu Kuraun Nana-ren Shotto Burikingu Kyanon,Royal Drum Crown 7-Shot Tin Tyrant Cannon,19,04/09/2000,"Episode 88 (p. 2-5), Episode 89 (p. 6-19)",,,,
151,17,Drum Skies,Doramu no Sora,The Skies of Drum,19,11/09/2000,Episode 89 (p. 2-19),,,,
152,17,Full Moon,Mangetsu,Full Moon,19,18/09/2000,"Episode 89 (p. 3-9), Episode 90 (p. 10-19)",,,,
153,17,Hiriluk's Sakura,Hiruruku no Sakura,Hiriluk's Cherry Blossoms,19,25/09/2000,Episode 90 (p. 2-19),,,,
154,17,To Arabasta,Arabasuta e,To Alabasta,19,02/10/2000,Episode 91 (p. 2-19),,,,
155,17,"""Pirate"" Sir Crocodile","""Kaizoku"" Sa Kurokodairu","""Pirate"" Sir Crocodile",19,07/10/2000,"Episode 92 (p. 2-13), Episode 91 (p. 14-19)",,,,
156,18,Okama Weather,Okama Biyori,Oh Come My Way Days,19,16/10/2000,Episode 92 (p. 2-19),,,,
157,18,Introducing Ace,Esu Tojo,Ace Arrives,19,23/10/2000,"Episode 92 (p. 2-10), Episode 94 (p. 12-17)",,,,
158,18,Arriving in Arabasta,Joriku no Arabasuta,Landing in Alabasta,19,30/10/2000,"Episode 93 (p. 2-3, 14-16), Episode 94 (p. 4-13)",,,,
159,18,Come On,Koi yo,Come On,19,06/11/2000,"Episode 95 (p. 2-4, 7-12, 14-19), Episode 96 (p. 5-6), Episode 101 (p. 13)",,,,
160,18,8 o'clock at Spiders CafÈ,Supaidazu Kafe ni Hachi-ji,Spiders CafÈ at Eight O'Clock,19,13/11/2000,"Episode 103 (p. 3, 6-19), Episode 96 (p. 4)",,,,
161,18,"The Green Town, Erumalu",Midori no Machi Erumaru,The Green City Erumalu,19,20/11/2000,Episode 96 (p. 2-19),,,,
162,18,Adventure in the Kingdom of Sand,Suna no Kuni no Boken,Adventure in the Kingdom of Sand,19,27/11/2000,"Episode 97 (p. 2-14), Episode 98 (p. 15-16), Episode 103 (p. 18)",,,,
163,18,"Yuba, the Rebel Town",Hanran-Gun no Machi Yuba,"Yuba, the Town of Rebels",19,04/12/2000,"Episode 103 (p. 2-7), Episode 100 (p. 8-19)",,,,
164,18,I Love This Country,Kuni ga Suki,I Love My Country,19,11/12/2000,"Episode 100 (p. 2-16), Episode 103 (p. 17-19)",,,,
165,18,Plan: Utopia,Sakusenmei Yutopia,Operation Utopia,18,18/12/2000,"Episode 103 (p. 2-3), Episode 104 (p. 4-18)",,,,
166,18,Luffy vs. Vivi,Rufi VS Bibi,Luffy vs. Vivi,19,04/01/2001,Episode 104 (p. 2-19),,,,
167,19,Battlefront,Sensen,Battle Front,19,15/01/2001,Episode 105 (p. 2-19),,,,
168,19,"Rainbase, Town of Dreams",Yume no Machi Reinbesu,"Rainbase, The Town of Dreams",19,22/01/2001,Episode 105 (p. 2-19),,,,
169,19,Strongest Warrior in the Kingdom,Okoku Saikyo no Senshi,The Kingdom's Strongest Warrior,19,29/01/2001,Episode 106 (p. 2-19),,,,
170,19,It Begins,Hajimaru,Beginning,19,05/02/2001,Episode 106 (p. 2-19),,,,
171,19,"Koza, Leader of the Rebellion",Hanran-Gun Rida Koza,"Koza, Leader of the Rebels",19,10/02/2001,Episode 107 (p. 2-19),,,,
172,19,Rebellion,Uneri,Rebellion,19,26/02/2001,"Episode 107 (p. 2-17), Episode 108 (p. 18-19)",,,,
173,19,Bananawani,Bananawani,Bananagator,19,05/03/2001,Episode 108 (p. 2-19),,,,
174,19,Mr. Prince,Misuta Purinsu,Mr. Prince,19,12/03/2001,Episode 108 (p. 2-19),,,,
175,19,Liberation,Kaiho,Release,19,19/03/2001,Episode 109 (p. 2-19),,,,
176,19,Rush!!,Rasshu!!,Rush,19,26/03/2001,"Episode 109 (p. 2-14), Episode 110 (p. 15-19)",,,,
177,20,"30,000,000 vs. 81,000,000",Sanzenman vs Hassenhyakuman,30 Million vs. 81 Million,19,02/04/2001,Episode 110 (p. 2-19),,,,
178,20,Level G.L.,Reberu Gurandorain,Grand Line Level,19,09/04/2001,Episode 110 (p. 2-19),,,,
179,20,The End Will Be in Alubarna,Kessen wa Arubana,Showdown at Alubarna,19,16/04/2001,Episode 111 (p. 2-19),,,,
180,20,Arabasta Animal Kingdom,Arabasuta Dobutsu Rando,Alabasta Animal Land,19,23/04/2001,"Episode 111 (p. 2-17), Episode 112 (p. 18-19)",,,,
181,20,Super Spot-Billed Duck Quiz,Chokarugamo Kuizu,Super Sonic Duck Quiz,19,07/05/2001,Episode 112 (p. 2-19),,,,
182,20,Roar,Dogo,Roar,19,14/05/2001,"Episode 112 (p. 2-17), Episode 113 (p. 18-19)",,,,
183,20,Commander Karoo,Karu-Taicho,Squadron Leader Karoo,19,21/05/2001,"Episode 112 (p. 2), Episode 113 (p. 3-19)",,,,
184,20,Molehill 4th St.,Mogurazuka Yonban-gai,Moletown Block Four,19,28/05/2001,"Episode 113 (p. 2-13), Episode 114 (p. 14-19)",,,,
185,20,"Wow, That's Nice",He So,Oh... Is That So?,19,04/06/2001,Episode 114 (p. 2-19),,,,
186,20,4,Fo,4,19,11/06/2001,"Crazy Rainbow (p. 1-2), Episode 114 (p. 3-5), Episode 115 (p. 6-19)",,,,
187,21,Even Match,Gokaku,Stalemate,19,18/06/2001,Episode 115 (p. 2-19),,,,
188,21,Okama Kenpo,Okama Kenpo,Oh Come My Way Karate,19,25/06/2001,"Episode 115 (p. 2-3), Episode 116 (p. 4-19)",,,,
189,21,2,Tsu,2,19,02/07/2001,Episode 116 (p. 2-19),,,,
190,21,Clima-Tact,Kurima Takuto,Climate Baton,19,09/07/2001,"Episode 116 (p. 2-10), Episode 117 (p. 11-19)",,,,
191,21,The Woman Who Controls the Weather,Tenko o Ayatsuru Onna,She Who Controls The Weather,19,16/07/2001,Episode 117 (p. 2-19),,,,
192,21,Whirlwind Warning,Senpu Chui Ho,Tornado Warning,19,23/07/2001,"Episode 118 (p. 2, 8-19), Episode 117 (p. 3-7)",,,,
193,21,Ideal Nation,Risokyo,Utopia,19,30/07/2001,Episode 118 (p. 2-19),,,,
194,21,Cut Through Steel,Tetsu o Kiru,Cutting Steel,18,06/08/2001,Episode 119 (p. 2-18),,,,
195,21,Mr. Bushido,Misuta Bushido,Mr. Bushido,21,20/08/2001,Episode 119 (p. 2-21),,,,
196,22,1,Wan,1,19,27/08/2001,Episode 120 (p. 2-19),,,,
197,22,The Leaders,Tosotsushatachi,The Leaders,19,03/09/2001,Episode 120 (p. 2-19),,,,
198,22,4:15 p.m.,Gogo Yo-ji Jugo-fun,4:15 pm,19,10/09/2001,"Grand Battle! 2 (p. 1-2), Episode 121 (p. 3-19)",,,,
199,22,Hope!!,Hopu!!,Hope!!,19,17/09/2001,Episode 121 (p. 2-19),,,,
